Data shown is as of Mar 6, 2022.
                                                                                     Monthly % of normal     Observed monthly                 Average Monthly
                                                                                     precipitation for       total precipitation              total precipitation
                                                                             Elev    Mar 2022
StnID  Station Name                                    State  Lat     Lon    (ft)           (%)                      (in.)                              (in.)
9BB    WELLS                                            NV   41.12  114.97   5650            11                       0.02                              0.19
AAT    ALTURAS(ASOS)                                    CA   41.49  120.56   4366            99                       0.29                              0.29
ACLN2  ASH CANYON CK - CARSON CITY, NR                  NV   39.18  119.80   5080             0                       0.00                              0.32
ACMC1  ARROYO CORTE MADERA - MILL VALLEY                CA   37.90  122.53      2            12                       0.12                              1.00
ACV    ARCATA AIRPORT                                   CA   40.98  124.11    223             9                       0.11                              1.23
ADMC1  ADIN MOUNTAIN                                    CA   41.23  120.79   6190            49                       0.34                              0.69
ADRC1  AUBURN DAM RIDGE                                 CA   38.88  121.05   1200             0                       0.00                              1.05
AGWC1  A.G. WISHON (PGE)                                CA   37.15  119.50   1000            74                       0.57                              0.77
ALDC1  ALDERPOINT                                       CA   40.19  123.59   1059            12                       0.15                              1.23
AMBC1  ALPINE MEADOWS                                   CA   39.16  120.24   6910            12                       0.21                              1.71
ANDC1  COYOTE CK - ANDERSON DAM                         CA   37.17  121.63    645            11                       0.08                              0.76
ANGC1  ANGWIN, TB                                       CA   38.57  122.44   1715            11                       0.12                              1.10
ANPC1  ANDERSON PEAK                                    CA   36.19  121.64   3368            14                       0.21                              1.51
ANTC1  ANTELOPE LAKE - TAYLORSVILLE, NR                 CA   40.18  120.61   4960            53                       0.22                              0.42
APC    NAPA(ASOS)                                       CA   38.21  122.28     14            12                       0.06                              0.48
ARFO3  PARKER MTN. - RAWS                               OR   42.10  122.28   5280            17                       0.11                              0.63
AROC1  PAJARO - CHITTENDEN                              CA   36.90  121.60     82             7                       0.05                              0.67
ATHC1  TEHACHAPI                                        CA   35.09  118.45   4790            52                       0.25                              0.48
ATNC1  ACTON (RAWS)                                     CA   34.45  118.20   2600            34                       0.14                              0.41
ATSC1  DEVILS GARDEN (CDF)                              CA   41.53  120.67   5049           127                       0.39                              0.31
ATWC1  ATWELL CAMP (COE)                                CA   36.46  118.63   6400           105                       1.23                              1.18
AWH    WILDHORSE RESERVOIR                              NV   41.64  115.80   6239           103                       0.25                              0.24
BAB    BEALE AFB                                        CA   39.13  121.45    113             3                       0.02                              0.62
BADC1  CAMP ROBERTS NR BRADLEY                          CA   35.79  120.75   1046             0                       0.00                              0.34
