,lat,lon,elevation_ft,precip_in,month,year
2,37.09,119.51,2090,6.44,Jan,2010
3,40.98,124.11,223,10.60,Jan,2010
4,41.19,120.94,4195,1.14,Jan,2010
5,41.49,120.55,4400,0.88,Jan,2010
6,38.57,122.44,1715,13.07,Jan,2010
7,38.28,120.31,4695,10.20,Jan,2010
9,36.49,118.83,1708,5.85,Jan,2010
11,36.46,118.63,6400,5.82,Jan,2010
12,38.91,121.08,1292,7.63,Jan,2010
15,39.13,121.45,113,5.17,Jan,2010
16,34.89,117.02,2320,2.69,Jan,2010
17,40.74,123.21,1250,8.27,Jan,2010
18,34.24,116.90,6760,14.24,Jan,2010
19,37.21,119.24,4878,6.79,Jan,2010
20,38.21,119.01,8370,1.23,Jan,2010
24,35.43,119.05,497,1.82,Jan,2010
25,40.47,123.79,640,15.76,Jan,2010
26,37.37,118.36,4108,1.29,Jan,2010
27,36.26,121.78,200,12.17,Jan,2010
29,33.61,114.71,395,2.12,Jan,2010
31,39.28,120.71,5280,13.90,Jan,2010
32,40.88,121.68,3198,6.90,Jan,2010
33,39.39,120.09,5575,3.87,Jan,2010
34,39.45,120.66,5385,12.65,Jan,2010
36,38.26,119.23,6470,2.18,Jan,2010
37,39.69,121.35,3560,21.30,Jan,2010
38,36.68,118.86,6800,9.51,Jan,2010
39,39.92,121.35,1850,16.31,Jan,2010
40,40.87,121.85,3800,16.75,Jan,2010
43,40.17,121.09,4560,9.20,Jan,2010
45,41.42,120.90,4310,2.04,Jan,2010
46,34.58,119.98,800,10.34,Jan,2010
49,41.78,124.24,56,10.40,Jan,2010
50,41.80,124.21,40,14.14,Jan,2010
51,41.53,120.17,4670,1.66,Jan,2010
52,40.00,120.92,4520,16.44,Jan,2010
53,40.30,121.24,4530,10.44,Jan,2010
55,41.31,122.80,3185,5.48,Jan,2010
57,39.69,121.82,185,9.53,Jan,2010
58,37.97,119.92,4765,9.12,Jan,2010
59,39.33,121.19,595,8.34,Jan,2010
61,38.25,120.84,658,5.68,Jan,2010
62,36.14,120.36,670,1.72,Jan,2010
64,41.45,120.87,4315,2.00,Jan,2010
65,37.25,119.71,2230,7.75,Jan,2010
66,39.10,120.96,2400,7.07,Jan,2010
67,41.98,122.34,2703,2.96,Jan,2010
69,34.02,118.29,185,4.94,Jan,2010
72,39.44,121.07,2503,15.08,Jan,2010
73,32.93,116.56,4870,10.06,Jan,2010
75,39.82,123.24,1410,10.92,Jan,2010
76,34.85,116.79,1922,1.62,Jan,2010
78,38.53,121.78,60,6.61,Jan,2010
79,39.87,121.61,2710,22.86,Jan,2010
80,36.46,116.86,-194,1.56,Jan,2010
83,36.91,119.09,1720,8.58,Jan,2010
85,39.97,120.08,4390,1.62,Jan,2010
86,39.32,120.23,5937,7.39,Jan,2010
87,40.02,120.10,4240,1.91,Jan,2010
91,41.18,122.28,2170,22.06,Jan,2010
92,39.56,120.82,2915,13.74,Jan,2010
94,35.98,118.63,6700,6.94,Jan,2010
96,40.81,124.16,20,9.29,Jan,2010
99,37.93,119.23,9645,3.51,Jan,2010
100,32.88,116.81,800,6.56,Jan,2010
105,33.67,117.33,1285,8.88,Jan,2010
106,39.36,122.52,1200,7.09,Jan,2010
107,37.59,120.27,879,5.44,Jan,2010
108,36.78,119.72,372,2.05,Jan,2010
109,38.52,120.71,2160,7.44,Jan,2010
111,38.27,122.07,40,8.29,Jan,2010
112,37.27,118.96,7200,8.25,Jan,2010
113,41.02,121.44,3310,2.82,Jan,2010
114,34.70,118.43,3060,7.31,Jan,2010
115,41.86,120.15,4500,1.94,Jan,2010
116,41.60,122.85,2725,2.94,Jan,2010
117,38.70,121.17,350,5.08,Jan,2010
118,38.51,123.24,112,14.48,Jan,2010
119,36.99,119.69,581,2.83,Jan,2010
120,39.51,123.76,120,10.01,Jan,2010
122,39.01,120.85,3020,10.37,Jan,2010
123,41.85,123.97,384,16.82,Jan,2010
126,37.75,119.13,8970,4.45,Jan,2010
127,38.92,120.79,3011,7.91,Jan,2010
130,39.16,120.86,3320,10.98,Jan,2010
131,35.73,118.70,3140,3.61,Jan,2010
135,39.20,121.07,2400,11.23,Jan,2010
136,40.14,120.94,3560,8.64,Jan,2010
137,36.74,118.96,6600,11.01,Jan,2010
138,37.82,120.10,3145,8.98,Jan,2010
139,41.55,122.92,2820,5.41,Jan,2010
142,40.93,121.54,3015,3.65,Jan,2010
