,wind_mph,lat,lon
0,24.39,41.93095,-122.510081
1,23.80,41.754853,-122.365534
2,23.41,41.928894,-121.906809
3,23.08,41.756147,-122.659466
4,22.99,39.736308,-122.259338
6,22.89,39.491654,-122.26208
7,22.88,41.727044,-121.907369
8,22.86,41.487278,-120.912416
9,22.72,39.923446,-122.270806
10,22.53,41.6071,-122.545715
11,22.47,38.889651,-123.337821
12,22.44,41.238956,-121.03925
13,22.30,41.452711,-120.53846
14,22.09,41.135964,-120.840063
15,22.03,39.94026,-122.4892
16,22.02,39.884652,-122.586513
17,21.96,41.767323,-121.440546
18,21.92,41.118402,-121.207564
19,21.86,41.770116,-120.431104
20,21.83,40.021716,-122.127821
21,21.82,39.571982,-122.580827
22,21.78,39.722512,-122.004433
24,21.63,41.258361,-120.372343
25,21.63,41.05604,-121.020802
26,21.59,39.96332,-122.017242
27,21.58,40.045637,-122.184859
28,21.56,41.506276,-120.143106
29,21.54,41.89888,-122.888552
30,21.53,39.875599,-121.536315
31,21.47,41.006417,-121.480741
32,21.43,41.028176,-121.308316
33,21.43,41.314337,-122.380798
34,21.41,40.973657,-121.692399
35,21.39,41.209942,-122.307935
36,21.37,41.456579,-122.469367
37,21.36,40.894269,-121.50702
38,21.31,39.584807,-122.032297
40,21.18,39.884654,-121.586789
41,21.17,38.313448,-121.123886
42,21.15,39.891624,-121.841982
43,21.12,41.428284,-122.609441
44,21.10,40.103236,-122.074735
45,21.06,40.01945,-121.566635
46,21.04,39.015251,-123.370756
47,21.04,38.325248,-120.955787
49,21.01,41.70183,-120.134337
50,21.01,41.268682,-121.93094
51,20.94,40.338068,-121.47907
52,20.82,39.716846,-121.64618
53,20.77,38.399281,-121.210116
54,20.75,39.665539,-121.351955
55,20.72,41.609516,-122.963525
57,20.71,39.745628,-121.843834
58,20.69,39.593945,-121.581363
59,20.68,39.604713,-121.795288
60,20.65,38.436774,-120.857624
64,20.64,41.858844,-120.104998
65,20.59,38.19262,-120.95782
66,20.57,38.210353,-121.051256
67,20.55,36.597809,-116.827404
68,20.54,38.713421,-123.349777
69,20.53,39.68571,-121.844084
70,20.52,38.482619,-120.899472
71,20.50,41.544675,-122.934665
72,20.49,40.793535,-121.438607
73,20.48,39.294516,-122.201715
74,20.44,40.87908,-121.893264
75,20.44,39.398424,-122.060946
76,20.42,40.040955,-121.122652
77,20.42,40.39796,-121.298528
78,20.41,40.343242,-121.852205
79,20.39,38.161879,-121.149837
80,20.38,41.051216,-121.984492
81,20.37,38.274451,-121.259201
82,20.37,39.838288,-121.134235
83,20.35,40.006256,-121.158894
84,20.34,40.421637,-121.833052
85,20.33,41.022721,-120.523987
86,20.27,39.480221,-121.838454
87,20.24,40.370467,-121.606306
88,20.24,41.299883,-120.078511
89,20.24,38.426699,-120.825717
90,20.22,38.511992,-121.096261
91,20.19,41.740719,-123.077404
92,20.12,41.076875,-122.253652
93,20.09,38.501363,-123.170879
94,20.07,39.449794,-121.936372
95,20.03,38.228948,-120.856627
96,20.02,38.490508,-121.284171
97,20.02,34.912426,-115.342092
98,19.96,38.434483,-120.761659
99,19.92,40.663854,-121.46106
100,19.87,39.409686,-121.756653
101,19.87,38.83252,-123.472532
102,19.87,38.149816,-120.84667
103,19.85,38.193762,-120.875928
104,19.82,34.541483,-115.644609
105,19.82,38.815548,-121.280172
106,19.81,40.844643,-121.969849
107,19.79,38.200231,-121.235034
108,19.77,40.133728,-121.092693
109,19.76,36.007706,-116.178478
111,19.73,40.685336,-122.016069
112,19.72,38.489544,-121.323454
113,19.71,38.488809,-121.395843
114,19.70,38.791075,-121.234854
